92.10 Gemeentecode,92.11 Omschrijving,92.12 Nieuwe code,99.98 Datum ingang,99.99 Datum einde
"0000","Onbekend","","",""
"0001","Adorp","0053","","19900101"
"0002","Aduard","0056","","19900101"
"0003","Appingedam","1979","","20210101"
"0004","Baflo","0053","","19900101"
"0005","Bedum","1966","","20190101"
"0006","Beerta","1661","","19910701"
"0007","Bellingwedde","1950","19680101","20180101"
"0008","Bierum","0010","","19900101"
"0009","Ten Boer","0014","","20190101"
"0010","Delfzijl","1979","","20210101"
"0011","Eenrum","0045","","19900101"
"0012","Ezinge","0053","","19900101"
"0013","Finsterwolde","0006","","19900101"
"0014","Groningen","","",""
"0015","Grootegast","1969","","20190101"
"0016","Grijpskerk","0056","","19900101"
"0017","Haren","0014","","20190101"
"0018","Hoogezand-Sappemeer","1952","19490401","20180101"
"0019","Hefshuizen","1651","19790101","19920101"
"0020","Kantens","0019","","19900101"
"0021","Kloosterburen","0045","","19900101"
"0022","Leek","1969","","20190101"
"0023","Leens","0045","","19900101"
"0024","Loppersum","1979","","20210101"
"0025","Marum","1969","","20190101"
"0026","Meeden","0033","","19900101"
"0027","Middelstum","0024","","19900101"
"0028","Midwolda","0039","","19900101"
"0029","Muntendam","0033","","19900101"
"0030","Nieuwe Pekela","0765","","19900101"
"0031","Nieuweschans","0006","","19900101"
"0032","Nieuwolda","0039","","19900101"
"0033","Oosterbroek","1987","19650701","19910201"
"0034","Almere","","19840101",""
"0035","Oldehove","0056","","19900101"
"0036","Oldekerk","0015","","19900101"
"0037","Stadskanaal","","19690101",""
"0038","Oude Pekela","0765","","19900101"
"0039","Scheemda","1895","","20100101"
"0040","Slochteren","1952","","20180101"
"0041","Stedum","0024","","19900101"
"0042","Termunten","0010","","19900101"
"0043","Uithuizen","0019","","19790101"
"0044","Uithuizermeeden","0019","","19790101"
"0045","Ulrum","1663","","19920101"
"0046","Usquert","0019","","19900101"
"0047","Veendam","","",""
"0048","Vlagtwedde","1950","","20180101"
"0049","Warffum","0019","","19900101"
"0050","Zeewolde","","19840101",""
"0051","Skarsterlân","1921","19850301","20140101"
"0052","Winschoten","1895","","20100101"
"0053","Winsum","1966","","20190101"
"0054","'t Zandt","0024","","19900101"
"0055","Boarnsterhim","0080","19850103","20140101"
"0056","Zuidhorn","1969","","20190101"
"0057","Boornsterhem","0055","19840101","19850103"
"0058","Dongeradeel","1970","19840101","20190101"
"0059","Achtkarspelen","","",""
"0060","Ameland","","",""
"0061","Baarderadeel","0103","","19840101"
"0062","Barradeel","0070","","19840101"
"0063","het Bildt","1949","","20180101"
"0064","Bolsward","1900","","20110101"
"0065","Dantumadeel","1891","","20090101"
"0066","Dokkum","0058","","19840101"
"0067","Doniawerstal","0139","","19840101"
"0068","Ferwerderadeel","1722","","19990101"
"0069","Franeker","0070","","19840101"
"0070","Franekeradeel","1949","","20180101"
"0071","Gaasterland","0653","","19850605"
"0072","Harlingen","","",""
"0073","Haskerland","0139","","19840101"
"0074","Heerenveen","","19340701",""
"0075","Hemelumer Oldeferd","0104","19560101","19840101"
"0076","Hennaarderadeel","0103","","19840101"
"0077","Hindeloopen","0104","","19840101"
"0078","Idaarderadeel","0057","","19840101"
"0079","Kollumerland en Nieuwkruisland","1970","","20190101"
"0080","Leeuwarden","","",""
"0081","Leeuwarderadeel","0080","","20180101"
"0082","Lemsterland","1921","","20140101"
"0083","Menaldumadeel","1908","","20110101"
"0084","Oostdongeradeel","0058","","19840101"
"0085","Ooststellingwerf","","",""
"0086","Opsterland","","",""
"0087","Rauwerderhem","0057","","19840101"
"0088","Schiermonnikoog","","",""
"0089","Sloten (F)","0071","","19840101"
"0090","Smallingerland","","",""
"0091","Sneek","1900","","20110101"
"0092","Stavoren","0104","","19840101"
"0093","Terschelling","","",""
"0094","Tietjerksteradeel","0737","","19890101"
"0095","Utingeradeel","0057","","19840101"
"0096","Vlieland","","",""
"0097","Westdongeradeel","0058","","19840101"
"0098","Weststellingwerf","","",""
"0099","Wonseradeel","0710","","19870101"
"0100","Workum","0104","","19840101"
"0101","Wymbritseradeel","0683","","19860101"
"0102","IJlst","0101","","19840101"
"0103","Littenseradeel","0140","19840101","19850126"
"0104","Nijefurd","1900","19840101","20110101"
"0105","Anloo","1680","","19980101"
"0106","Assen","","",""
"0107","Beilen","1697","","19980101"
"0108","Borger","1681","","19980101"
"0109","Coevorden","","",""
"0110","Dalen","0109","","19980101"
"0111","Diever","1701","","19980101"
"0112","Dwingeloo","1701","","19980101"
"0113","Eelde","0136","","19980101"
"0114","Emmen","","",""
"0115","Gasselte","1680","","19980101"
"0116","Gieten","1680","","19980101"
"0117","Havelte","1701","","19980101"
"0118","Hoogeveen","","",""
"0119","Meppel","","",""
"0120","Norg","1699","","19980101"
"0121","Nijeveen","0119","","19980101"
"0122","Odoorn","1681","","19980101"
"0123","Oosterhesselen","0109","","19980101"
"0124","Peize","1699","","19980101"
"0125","Roden","1699","","19980101"
"0126","Rolde","1680","","19980101"
"0127","Ruinen","1690","","19980101"
"0128","Ruinerwold","1690","","19980101"
"0129","Schoonebeek","0114","18840501","19980101"
"0130","Sleen","0109","","19980101"
"0131","Smilde","1697","","19980101"
"0132","Vledder","1701","","19980101"
"0133","Vries","0136","","19980101"
"0134","Westerbork","1697","","19980101"
"0135","de Wijk","1690","","19980101"
"0136","Zuidlaren","1730","","19991201"
"0137","Zuidwolde","1690","","19980101"
"0138","Zweeloo","0109","","19980101"
"0139","Scharsterland","0051","19840101","19850301"
"0140","Littenseradiel","1900","19850126","20180101"
"0141","Almelo","","19130101",""
"0142","Ambt Delden","1735","","20010101"
"0143","Avereest","0160","","20010101"
"0144","Bathmen","0150","","20050101"
"0145","Blankenham","0195","","19730101"
"0146","Blokzijl","0194","","19730101"
"0147","Borne","","",""
