94.10 Landcode,94.11 Omschrijving,99.98 Datum ingang,99.99 Datum einde,Fictieve datum einde
"9013","Congo-Brazzaville","","19600815",""
"9014","Leewardeilanden","","19910601","*"
"9015","Windwardeilanden","","19910601","*"
"9016","Frans Territorium voor Afars en Issa's","","19770627",""
"9017","Phoenixeilanden","","19910601","*"
"9020","Portugees-Guinee","","19740910",""
"9022","Duits Zuidwest-Afrika","","19910601","*"
"9023","Namibië","19680131","",""
"9027","Brits-Somaliland","","19600701",""
"9028","Italiaans-Somaliland","","19600701",""
"9030","Nederlands-Indië","","19491227",""
"9031","Brits-Guyana","","19660526",""
"9036","Swaziland","","20180419",""
"9037","Qatar","","",""
"9038","Eswatini","20180419","",""
"9041","Aden","","19910601","*"
"9042","Zuid-Arabische Federatie","19590211","19671127",""
"9043","Equatoriaal-Guinea","","",""
"9044","Spaans-Guinee","","19910601","*"
"9047","Verenigde Arabische Republiek","19580222","19610928",""
"9048","Bermuda","","",""
"9049","Sovjet-Unie","19171107","19911231",""
"9050","Duits Oost-Afrika","","19910601","*"
"9051","Zanzibar","","19640427",""
"9052","Ceylon","","19720522",""
"9053","Muscat en Oman","","19700809",""
"9054","Trucial Oman","","19711202",""
"9055","Indochina","","19910601","*"
"9056","Marshalleilanden","","",""
"9057","Sarawak","","19910601","*"
"9058","Brits-Borneo","","19630916",""
"9060","Sabah","","19910601","*"
"9061","Abu Dhabi","","19910601","*"
"9062","Ajman","","19910601","*"
"9063","Basutoland","","19661004",""
"9064","Bechuanaland","","19660930",""
"9065","Fujairah","","19910601","*"
"9066","Frans-Kameroen","","19600101",""
"9067","Johore","","19460401",""
"9068","Korea","","19910601","*"
"9069","Labuan","","19910601","*"
"9070","Umm Al-Qaiwain","","19910601","*"
"9071","Oostenrijk-Hongarije","","19910601","*"
"9072","Portugees Oost-Afrika","","19750625",""
"9073","Portugees West-Afrika","","19751111",""
"9074","Sharjah","","19910601","*"
"9075","Straits Settlements","","19460401",""
"9076","Abessinië","","19910601","*"
"9077","Frans West-Afrika","","19910601","*"
"9078","Frans Equatoriaal-Afrika","","19910601","*"
"9081","Urundi","","19910601","*"
"9082","Ruanda-Urundi","","19620701",""
"9084","Goa","","19611218",""
"9085","Dantzig","","19390901",""
"9086","Centraal-Afrikaanse Republiek","","",""
"9087","Djibouti","19770627","",""
"9088","Transjordanië","19230515","19910601","*"
"9089","Bondsrepubliek Duitsland","19490801","",""
"9090","Vanuatu","19800730","",""
"9091","Niue","","",""
"9092","Spaans Noord-Afrika","","19910601","*"
"9093","Westelijke Sahara","19760226","",""
"9094","Micronesia","","",""
"9095","Svalbardeilanden","","",""
"9999","Internationaal gebied","","",""
